,Nation,Population,Total military deaths from all causes,Civilian deaths due to direct military action,Civilian deaths due to indirect military action,Total deaths,Deaths as percent of population,Military wounded,War
0,Australia,5000000.0,60740.0,,,60740.0,0.012,152171.0,World War 1
1,Canada,7200000.0,60818.0,1963.0,,62818.0,0.0085,149732.0,World War 1
2,India,315100000.0,69177.0,,,69177.0,0.0,69214.0,World War 1
3,New Zealand,1100000.0,17386.0,,,17386.0,0.0155,41317.0,World War 1
4,Newfoundland,200000.0,1387.0,,,1387.0,0.006999999999999999,2314.0,World War 1
5,South Africa,6000000.0,8424.0,,,8424.0,0.0015000000000000002,12029.0,World War 1
6,United Kingdom,45400000.0,887858.0,16829.0,107000.0,939758.0,0.020499999999999997,1675000.0,World War 1
7,British Empire,380000000.0,1033859.0,18829.0,107000.0,1160688.0,0.003,2101077.0,World War 1
8,Belgium,7400000.0,48404.0,23700.0,62000.0,134104.0,0.018500000000000003,44686.0,World War 1
9,France,39600000.0,1377400.0,40000.0,300000.0,1717400.0,0.0435,4266000.0,World War 1
10,Greece,4800000.0,15500.0,,150000.0,165500.0,0.0345,21000.0,World War 1
11,Italy,35600000.0,555500.0,3400.0,589000.0,1147900.0,0.0325,947000.0,World War 1
12,Japan,53600000.0,2480.0,,,2480.0,0.0,907.0,World War 1
13,Montenegro,500000.0,8162.0,,,8162.0,0.0165,10000.0,World War 1
14,Portugal,6000000.0,7222.0,13.0,82000.0,89235.0,0.015,13751.0,World War 1
15,Romania,7500000.0,292853.0,130000.0,200000.0,622853.0,0.083,120000.0,World War 1
16,Russia,175100000.0,1977184.0,410000.0,730000.0,3117184.0,0.0175,4349500.0,World War 1
17,Serbia,4500000.0,375000.0,,625000.0,1000000.0,0.2225,133148.0,World War 1
18,United States,92000000.0,116708.0,757.0,,117466.0,0.001,204002.0,World War 1
21,Austria-Hungary,51400000.0,1347100.0,120000.0,467000.0,1934100.0,0.0375,3620000.0,World War 1
22,Bulgaria,4500000.0,87500.0,,100000.0,187500.0,0.034,152390.0,World War 1
23,Germany,64900000.00000001,2037000.0,720.0,593500.0,2499570.0,0.0385,4215662.0,World War 1
24,Ottoman Empire,21300000.0,548422.0,1500000.0,1000000.0,3048422.0,0.14350000000000002,581876.0,World War 1
27,Denmark,2800000.0,,,700.0,700.0,0.0,,World War 1
28,Luxembourg,300000.0,2800.0,,,,,,World War 1
29,Norway,2400000.0,,,1180.0,1180.0,0.001,,World War 1
30,Persia,10500000.0,,,2000000.0,2000000.0,0.19,,World War 1
31,Sweden,5600000.0,,,800.0,800.0,0.0,,World War 1
32,Approx. totals,959700000.0,9698645.0,2250099.0,6755500.0,18500000.0,0.02,22883486.0,World War 1
0,Albania,1073000.0,30000.0,,,30000.0,0.027999999999999997,,World War 2
1,Australia,6968000.0,39700.0,700.0,,40400.0,0.0058,39803.0,World War 2
3,Belgium,8387000.0,12000.0,76000.0,,88000.0,0.0105,55513.0,World War 2
4,Brazil,40289000.0,1000.0,1000.0,,2000.0,0.0,4222.0,World War 2
5,Bulgaria,6458000.0,18500.0,3000.0,,21500.0,0.0033,21878.0,World War 2
6,Burma,16119000.0,2600.0,625000.0,,626300.0,0.03885,,World War 2
7,Canada,11267000.0,42000.0,1600.0,,43600.0,0.0038,53174.0,World War 2
