,Nation,Population,Total military deaths from all causes,Civilian deaths due to direct military action,Civilian deaths due to indirect military action,Total deaths,Deaths as percent of population,Military wounded,War
0,Australia b,5.0 Million,"59,330[20]to 62,149[11]",,,"59,330to 62,149",1.2% to 1.2%,"152,171[21]",World War 1
1,Canada d,7.2 Million,"56,639[21] to 64,996[11]","1,963[23][24]",,"58,639 to 66,996",0.8% to 0.9%,"149,732[21]",World War 1
2,India g,315.1 Million,"64,449[21] to 73,905[11]",,,"64,449 to 73,905",0% to 0%,"69,214[21]",World War 1
3,New Zealand l,1.1 Million,"16,711[21] to 18,060[11]",,,"16,711 to 18,060",1.5% to 1.6%,"41,317[21]",World War 1
4,Newfoundland m,0.2 Million,"1,204[21] to 1,570[26](included with UK)",,,"1,204to 1,570",0.6% to 0.8%,"2,314[21]",World War 1
5,South Africa r,6.0 Million,"7,121[21] to 9,726[11]",,,"7,121 to 9,726",0.1% to 0.2%,"12,029[21]",World War 1
6,United Kingdom(and Colonies) s,45.4 Million,"887,858[11]","16,829[21][27]","107,000[28]","867,829 to 1,011,687",1.9% to 2.2%,"1,675,000s1",World War 1
7,Sub-total for British Empire,380.0 Million,"949,454 to 1,118,264",18829,107000,"1,077,283to 1,244,093",0.3% to 0.3%,2101077,World War 1
8,Belgium c,7.4 Million,"38,170[29]to 58,637[30]","23,700[31]","62,000[32]","123,870to 144,337",1.7% to 2%,"44,686[33]",World War 1
9,France e,39.6 Million,"1,357,000[20]to 1,397,800[36]","40,000[18][37][38]","300,000[32]","1,697,000to 1,737,800",4.3% to 4.4%,"4,266,000[33]",World War 1
10,Greece f,4.8 Million,"5,000[20] to 26,000[39]",,"150,000[40]","155,000 to 176,000",3.2% to 3.7%,"21,000[33]",World War 1
11,Italy h,35.6 Million,"460,000[29] to 651,000[41]","3,400[42]","589,000[43]","1,052,400 to 1,243,400",3% to 3.5%,"947,000[33]",World War 1
12,Japan i,53.6 Million,"300[33] to 4,661[44]",,,"300 to 4,661",0% to 0%,907[33],World War 1
13,Montenegro k,0.5 Million,"3,000[33] to 13,325[44]",,,"3,000 to 13,325",0.6% to 2.7%,"10,000[33]",World War 1
14,Portugal n,6.0 Million,"7,222[29]",13[45],"82,000[46]",89235,1.5%,"13,751[29]",World War 1
15,Romania o,7.5 Million,"250,000[44] to 335,706[20]","130,000[47]","200,000[47]","580,000 to 665,706",7.7% to 8.9%,"120,000[33]",World War 1
16,Russia p,175.1 Million,"1,700,000[33] to2,254,369[48]","410,000[49]","730,000[49]","2,840,000 to3,394,369",1.6% to 1.9%,"3,749,000[48] to4,950,000[33]",World War 1
17,Serbia q,4.5 Million,"300,000[50]to 450,000[51]",,"450,000[50]to 800,000[51]","750,000 to 1,250,000",16.7% to 27.8%,"133,148[33]",World War 1
18,United States t,92.0 Million,"116,708[53][54]",757[55],,117466,0.1%,"204,002[53]",World War 1
21,Austria-Hungary u,51.4 Million,"1,200,000[33][58]to 1,494,200[57]","120,000[59]","467,000[60]","1,787,000 to 2,081,200",3.5% to 4%,"3,620,000[21]",World War 1
22,Bulgaria v,4.5 Million,"87,500[33][20]",,"100,000[61]",187500,3.4%,"152,390[33][20]",World War 1
23,Germany w,64.9 Million,"2,037,000[64][65]",720[66],"424,000[67] to 763,000[68][69]","2,198,420 to 2,800,720",3.4% to 4.3%,"4,215,662[64]",World War 1
24,Ottoman Empire x,21.3 Million,"325,000[33] to 771,844[71]","1,500,000[72]","1,000,000[73]","2,825,000 to 3,271,844",13.3% to 15.4%,"400,000[33] to 763,753[71]",World War 1
27,Denmark y,2.8 Million,,,700[74],700,0%,—,World War 1
28,Luxembourg j,0.3 Million,2800,,,,See footnote,,World War 1
